,means,stds,params,Model,Recall,F1_Score,Iteration,AUC
0,0.8267873491468998,0.0362115694247048,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'best'}",DecisionTreeClassifier,0.7225210084033613,0.745643184908317,7,0.8351139688198511
0,0.8368622555139409,0.0323297922522252,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 100, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",RandomForestClassifier,0.7427731092436975,0.7752713017569169,7,0.8707191523073876
0,0.8425010403662089,0.0382357103410098,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.7605882352941177,0.7879548760779416,7,0.88220787709023
0,0.8118143986683309,0.0415309288961039,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.6873949579831933,0.7313978000959171,8,0.8590232294938177
0,0.8226550145651268,0.0391243705748607,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'poly'}",SVC,0.6724369747899159,0.7455768392044189,8,0.8656715615539146
0,0.7216479400749063,0.0448607754526913,{'var_smoothing': 0.07906043210907697},GaussianNB,0.4767226890756302,0.5692349431926385,8,0.8086572730102143
0,0.7467082813150228,0.051944040863135,"{'early_stopping': False, 'eta0': 0.01, 'max_iter': 10, 'penalty': None}",Perceptron,0.6815966386554623,0.6193150875062696,8,0.7729588320176556
0,0.809567207657095,0.0437886227471803,"{'C': 0.01, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.6902521008403362,0.7324838978345093,8,0.8592359448830036
0,0.8110611735330835,0.0418888750785236,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.6931932773109244,0.732474405190996,8,0.859319073083779
0,0.8286433624635872,0.0332113942035587,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",DecisionTreeClassifier,0.722436974789916,0.7431983116912264,8,0.8389481934187817
0,0.836113191843529,0.0328073471507229,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 100, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}",RandomForestClassifier,0.7281512605042016,0.7715134930459732,8,0.8731440454969868
0,0.8425010403662089,0.0382357103410098,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 1500, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.7605882352941177,0.7879548760779416,8,0.88220787709023
0,0.8316146483562215,0.0364642882162149,"{'C': 1.0, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.7660504201680672,0.7738306005952019,9,0.867666468607645
0,0.8320307948397834,0.0343287053658917,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",SVC,0.7395798319327731,0.770063200187691,9,0.8636367597544068
0,0.7942405326674989,0.0362399807481025,{'var_smoothing': 0.03393221771895328},GaussianNB,0.7194957983193276,0.7210763297752282,9,0.841473106414283
0,0.7646650020807326,0.0518908615981187,"{'early_stopping': False, 'eta0': 0.1, 'max_iter': 100, 'penalty': 'l2'}",Perceptron,0.6584033613445379,0.6298651385379108,9,0.7759279631044337
0,0.831652101539742,0.0356095950238167,"{'C': 0.1, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.7484033613445378,0.7681420235646473,9,0.8675021927963105
0,0.8308780690803163,0.0397115792432951,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.7573949579831933,0.7658072449210838,9,0.8653144894321365
0,0.823399916770703,0.0433710294879016,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 12, 'splitter': 'best'}",DecisionTreeClassifier,0.7192436974789916,0.7374874614742841,9,0.842602042837337
0,0.8376238035788596,0.0348953824292168,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}",RandomForestClassifier,0.7283193277310923,0.7674007286955484,9,0.8721041790453554
0,0.8424802330420309,0.0380271997121301,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 500, 'subsample': 0.7, 'use_label_encoder': False}",XGBClassifier,0.7603361344537815,0.7818714159614709,9,0.886200633788869
0,0.8641905950894714,0.0418718735691318,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}",Logistic_Regression,0.789579831932773,0.8140523132451435,11,0.9087244716068243
0,0.8653058676654183,0.0324511873728591,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",SVC,0.745546218487395,0.8023751384303701,11,0.905766601590131
0,0.8126009155222639,0.0394923179534503,{'var_smoothing': 0.12067926406393285},GaussianNB,0.6374789915966387,0.7204723665239006,11,0.8664950060832414
0,0.8114107365792759,0.0426029860415615,"{'early_stopping': False, 'eta0': 0.0001, 'max_iter': 10, 'penalty': 'l1'}",Perceptron,0.7696638655462185,0.7391296259866192,11,0.872886880004527
0,0.8675530586766541,0.03993095868145,"{'C': 10, 'max_iter': 10000, 'penalty': 'l2'}",LinearSVC,0.7923529411764705,0.8178197126221785,11,0.9059366494072376
0,0.8627007906783188,0.0396149160348081,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l1'}",SGDClassifier,0.7894957983193276,0.8109947668380417,11,0.9093750954927426
0,0.8716770703287557,0.0310151950133541,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 6, 'splitter': 'random'}",DecisionTreeClassifier,0.7426890756302521,0.8191455889465035,11,0.9047589904648728
